dataset,n,d,labels,k,noise,g
g2mg/g2mg_4_20,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_20,2048,4,labels1,2,0,0.0
g2mg/g2mg_4_30,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_30,2048,4,labels1,2,0,0.001953125
g2mg/g2mg_4_40,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_40,2048,4,labels1,2,0,0.00390625
g2mg/g2mg_4_50,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_50,2048,4,labels1,2,0,0.00390625
g2mg/g2mg_4_60,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_60,2048,4,labels1,2,0,0.0048828125
g2mg/g2mg_4_70,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_70,2048,4,labels1,2,0,0.017578125
g2mg/g2mg_4_80,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_80,2048,4,labels1,2,0,0.0126953125
g2mg/g2mg_4_90,2048,4,labels0,2,0,0.0
g2mg/g2mg_4_90,2048,4,labels1,2,0,0.013671875
g2mg/g2mg_8_10,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_10,2048,8,labels1,2,0,0.0
g2mg/g2mg_8_20,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_20,2048,8,labels1,2,0,0.0
g2mg/g2mg_8_30,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_30,2048,8,labels1,2,0,0.00390625
g2mg/g2mg_8_40,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_40,2048,8,labels1,2,0,0.0087890625
g2mg/g2mg_8_50,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_50,2048,8,labels1,2,0,0.0146484375
g2mg/g2mg_8_60,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_60,2048,8,labels1,2,0,0.0107421875
g2mg/g2mg_8_70,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_70,2048,8,labels1,2,0,0.0234375
g2mg/g2mg_8_80,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_80,2048,8,labels1,2,0,0.0341796875
g2mg/g2mg_8_90,2048,8,labels0,2,0,0.0
g2mg/g2mg_8_90,2048,8,labels1,2,0,0.02734375
g2mg/g2mg_16_10,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_10,2048,16,labels1,2,0,0.0
g2mg/g2mg_16_20,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_20,2048,16,labels1,2,0,0.0
g2mg/g2mg_16_30,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_30,2048,16,labels1,2,0,0.001953125
g2mg/g2mg_16_40,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_40,2048,16,labels1,2,0,0.0
g2mg/g2mg_16_50,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_50,2048,16,labels1,2,0,0.00390625
g2mg/g2mg_16_60,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_60,2048,16,labels1,2,0,0.013671875
g2mg/g2mg_16_70,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_70,2048,16,labels1,2,0,0.0107421875
g2mg/g2mg_16_80,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_80,2048,16,labels1,2,0,0.0185546875
g2mg/g2mg_16_90,2048,16,labels0,2,0,0.0
g2mg/g2mg_16_90,2048,16,labels1,2,0,0.01953125
g2mg/g2mg_32_10,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_10,2048,32,labels1,2,0,0.0
g2mg/g2mg_32_20,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_20,2048,32,labels1,2,0,0.0
g2mg/g2mg_32_30,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_30,2048,32,labels1,2,0,0.001953125
g2mg/g2mg_32_40,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_40,2048,32,labels1,2,0,0.0107421875
g2mg/g2mg_32_50,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_50,2048,32,labels1,2,0,0.0029296875
g2mg/g2mg_32_60,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_60,2048,32,labels1,2,0,0.0048828125
g2mg/g2mg_32_70,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_70,2048,32,labels1,2,0,0.015625
g2mg/g2mg_32_80,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_80,2048,32,labels1,2,0,0.0166015625
g2mg/g2mg_32_90,2048,32,labels0,2,0,0.0
g2mg/g2mg_32_90,2048,32,labels1,2,0,0.017578125
g2mg/g2mg_64_10,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_10,2048,64,labels1,2,0,0.0
g2mg/g2mg_64_20,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_20,2048,64,labels1,2,0,0.0009765625
g2mg/g2mg_64_30,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_30,2048,64,labels1,2,0,0.005859375
g2mg/g2mg_64_40,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_40,2048,64,labels1,2,0,0.0087890625
g2mg/g2mg_64_50,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_50,2048,64,labels1,2,0,0.0087890625
g2mg/g2mg_64_60,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_60,2048,64,labels1,2,0,0.005859375
g2mg/g2mg_64_70,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_70,2048,64,labels1,2,0,0.0
g2mg/g2mg_64_80,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_80,2048,64,labels1,2,0,0.0068359375
g2mg/g2mg_64_90,2048,64,labels0,2,0,0.0
g2mg/g2mg_64_90,2048,64,labels1,2,0,0.0078125
g2mg/g2mg_128_10,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_10,2048,128,labels1,2,0,0.0
g2mg/g2mg_128_20,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_20,2048,128,labels1,2,0,0.0
g2mg/g2mg_128_30,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_30,2048,128,labels1,2,0,0.0009765625
g2mg/g2mg_128_40,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_40,2048,128,labels1,2,0,0.001953125
g2mg/g2mg_128_50,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_50,2048,128,labels1,2,0,0.009765625
g2mg/g2mg_128_60,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_60,2048,128,labels1,2,0,0.015625
g2mg/g2mg_128_70,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_70,2048,128,labels1,2,0,0.015625
g2mg/g2mg_128_80,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_80,2048,128,labels1,2,0,0.013671875
g2mg/g2mg_128_90,2048,128,labels0,2,0,0.0
g2mg/g2mg_128_90,2048,128,labels1,2,0,0.013671875
